"","Board Game Name","Publishing Year","Game Playing Time","Max Number of Players"
"25415","Dungeon Crawl",2012,0,1
"25416","Brave 4 in 1 Game Box",2012,0,0
"25417","Ryska Postenspelet",2012,60,0
"25418","Pirate Dice: 5th Player Expansion",2012,0,5
"25419","Inte ens nara!",2012,0,0
"25420","Magic: The Gathering – Planechase: Chaos Reigns",2012,0,0
"25421","Magic: The Gathering – Planechase: Night of the Ninja",2012,0,0
"25422","Magic: The Gathering – Planechase: Savage Auras",2012,0,0
"25423","Where on Earth?",2012,0,0
"25424","NHL All About Trivia Card Game",2012,60,0
"25425","En galen varld",2012,0,0
"25426","Evil & Good",2012,90,2
"25427","Lulu Vroumette",2012,0,6
"25428","Full Moon Circus",2012,20,4
"25429","Charm",2012,0,4
"25430","Find my Piglet!",2012,0,0
"25431","Zachra<U+0148>me sv<U+011B>t",2012,0,5
"25432","Egyptian Solitaire",2012,10,4
"25433","AHHBANG!",2012,0,6
"25434","TaRocca Castle",2012,0,6
"25435","1914: Dispatches Oregon ConSim Journal",2012,0,6
"25436","Walking with Dinosaurs: The 3D Movie",2012,0,4
"25437","Ramble",2012,0,6
"25438","Too Schuss a Tignes",2012,90,6
"25439","Der Besucher: Part 1 – The House with the red dog",2012,40,3
"25440","Stadtkatzen",2012,20,4
"25441","Die Piraten der Krakeninsel",2012,20,4
"25442","Code of Princess Card Game",2012,30,4
"25443","Battle of the Dnieper. 1943",2012,50,2
"25444","Sportsnord",2012,0,0
"25445","Banco Imobiliario Cartas",2012,40,4
"25446","Flipmode",2012,0,2
"25447","Bushido: Gengo",2012,60,2
"25448","Bushido: Gok",2012,60,2
"25449","Bushido: Rat Swarm",2012,60,2
"25450","Bushido: Shichiro",2012,60,2
"25451","Bushido: Kairai Villager",2012,60,2
"25452","Bushido: Wraith",2012,60,2
"25453","Piraci: Karaibska flota – Atak Hiszpanow",2012,30,5
"25454","Kamozza (貨<U+30E2><U+30C3><U+30C4><U+30A1>)",2012,0,5
"25455","Le dernier canot du Titanic",2012,0,5
"25456","Hail Caesar:  The Conquest of Gaul",2012,0,2
"25457","City Express",2012,20,4
"25458","Acrobatissimo",2012,15,4
"25459","Le Tresor des Iles-de-la-Madeleine",2012,60,6
"25460","Pour les nuls: Le jeu",2012,0,6
"25461","Neuroshima Tactics: Moloch – Hybrydy 2",2012,0,0
"25462","Neuroshima Tactics: Hegemonia – Punki 2",2012,0,0
"25463","Neuroshima Tactics: Mutanci Borgo – Cyborgi 2",2012,0,0
"25464","Neuroshima Tactics: Mutanci Borgo – Szpony 2",2012,0,0
"25465","Neuroshima Tactics: Heroes – Treasure Hunter",2012,0,0
"25466","Voldetour: 4 player expansion",2012,0,4
"25467","Ricochet Postcard",2012,20,99
"25468","Phineas and Ferb: Mission Achterbahn",2012,20,4
"25469","Keltis (with Neue Wege, Neue Ziele)",2012,30,4
"25470","Magic: The Gathering – Duel Decks: Venser vs. Koth",2012,0,2
"25471","Magic: The Gathering – Duel Decks: Izzet vs. Golgari",2012,0,2
"25472","Dragon Chase",2012,45,4
"25473","Quiz Casino",2012,0,6
"25474","Kierowcy!",2012,25,4
"25475","Host Party: Trailer Trash Tragedy",2012,180,14
"25476","Captain Scrimshaw's Digg'n Pirate Treasure Puzzle Game",2012,20,4
"25477","Host Party: Back to the Eighties",2012,180,14
"25478","Johtolanka",2012,0,6
"25479","Octonauts Memory",2012,20,6
"25480","Flirt: The Card Game",2012,0,5
"25481","Bushido: Ito Clan Starter Set",2012,0,2
"25482","1893: Koln-Bonn",2012,180,4
"25483","The British Army Desert War Game: Mod Wargaming Rules (1978)",2012,0,0
"25484","The Good Architect",2012,60,8
"25485","Batman Miniature Game: Joker's Crew",2012,0,2
"25486","Batman Miniature Game: Penguin's Crew",2012,0,2
"25487","UNO: Spider-Sense Spider-Man",2012,20,10
"25488","Regimental Fire and Fury: Civil War Battle Scenarios Volume 1 – 1861-1862",2012,180,2
"25489","Spillet om Klatremus og de andre dyrene i Hakkebakkeskogen",2012,20,4
"25490","Kanji Game",2012,0,8
"25491","Le quiz de comment",2012,0,5
"25492","Let's Go Sugaring",2012,0,4
"25493","Imaginarium: Ariadne",2012,120,7
"25494","Murder: il Gioco di Carte",2012,30,6
"25495","Der Maulwurf schaut genau",2012,15,4
"25496","Bushido: Koji & Koji's pack",2012,60,2
"25497","Bushido: Hotaru",2012,60,2
"25498","Bushido: Master Po",2012,60,2
"25499","Bushido: Minor Kami of Fire and Water",2012,60,2
"25500","Bushido: Kintaru",2012,60,2
"25501","Bushido: Daisuke",2012,0,2
"25502","Bushido: Mizuchi",2012,0,2
"25503","Bushido: Tenchi",2012,60,2
"25504","Bushido: Junichi",2012,60,2
"25505","Bushido: Hagane Takashi",2012,60,2
"25506","Bushido: Fujitaka",2012,60,2
"25507","ColourCards",2012,15,8
"25508","Chaostle",2011,120,8
"25509","Trail of the Brotherhood",2011,30,4
"25510","Spectral Rails",2011,60,4
"25511","No Peace Without Spain!",2011,240,2
"25512","Sekigahara: The Unification of Japan",2011,180,2
"25513","My Precious Presents",2011,25,5
"25514","Shenandoah: Jackson's Valley Campaign",2011,180,2
"25515","Blindside",2011,25,2
"25516","Harzbahn 1873",2011,300,5
"25517","Victoria Cross II",2011,120,2
"25518","Devil Takes All!: The Battle of Opequon Creek, 1864",2011,0,2
"25519","Mini-M.I.G.",2011,0,6
"25520","Inside the Armor",2011,60,2
"25521","Fluffy Bunny Tea Party",2011,30,8
"25522","Axis Empires: Totaler Krieg!",2011,3600,3
"25523","Axis Empires: Dai Senso!",2011,900,3
"25524","Breakthrough: Cambrai",2011,180,2
"25525","Nightfighter",2011,60,2
"25526","Ventura",2011,90,4
"25527","Qubix",2011,20,5
"25528","Galaxia S.A.",2011,60,4
"25529","Strafexpedition 1916",2011,120,4
"25530","Where Eagles Dare",2011,2400,2
"25531","Aquarium",2011,45,6
"25532","Kenefick",2011,20,5
"25533","The Big Time!",2011,45,4
"25534","The Heavens of Olympus",2011,60,5
"25535","Ascending Empires",2011,75,4
"25536","Dados",2011,20,4
"25537","Godzilla: Kaiju World Wars",2011,60,4
"25538","Hot Potato",2011,30,9
"25539","North Pole",2011,30,6
"25540","Fighting Formations: Grossdeutschland Motorized Infantry Division",2011,180,2
"25541","Karelia '44",2011,0,2
"25542","Swordsmiths of Spain",2011,90,4
"25543","Order of the Stick Adventure Game: The Shortening",2011,120,6
"25544","Tannhauser: Daedalus",2011,60,2
"25545","Case Yellow, 1940: The German Blitzkrieg in the West",2011,180,2
"25546","Empires: Builder Expansion",2011,90,6
"25547","Band of Brothers: Screaming Eagles",2011,90,2
"25548","Mob Ties: The Board Game",2011,90,6
"25549","Summer Lightning: The Invasion of Poland 1939",2011,240,2
"25550","Slouch Hats & Eggshells",2011,360,2
"25551","18SY",2011,210,7
"25552","Field Commander: Napoleon",2011,180,1
"25553","Lock 'n Load: Heroes of the Gap",2011,90,2
"25554","1812",2011,180,4
"25555","Gears of War: The Board Game",2011,180,4
"25556","Auto Nation",2011,90,5
"25557","Arctic Scavengers: HQ",2011,45,5
"25558","Yomi",2011,30,2
"25559","T.O.O.L.",2011,90,4
"25560","Friday",2011,25,1
"25561","Capek",2011,30,4
"25562","High Noon Saloon",2011,45,6
"25563","Belfort",2011,120,5
"25564","Ninjato",2011,60,4
"25565","Mehinaku",2011,75,6
"25566","Family Alias",2011,45,8
"25567","Hook, Line, and Sinker",2011,60,8
"25568","Oubliette",2011,45,4
"25569","The Lash of the Turk",2011,360,2
"25570","Train of Thought",2011,20,7
"25571","Advanced Squad Leader: Starter Kit Expansion Pack #1",2011,0,2
"25572","Alba Longa",2011,90,5
"25573","Letters from Whitechapel",2011,120,6
"25574","Urban Sprawl",2011,180,4
"25575","Infidel",2011,120,2
"25576","Lorrein",2011,30,6
"25577","JAB: Realtime Boxing",2011,15,2
"25578","None But Heroes",2011,60,2
"25579","Undermining",2011,45,5
"25580","Shake 'n Take",2011,20,10
"25581","1843",2011,360,6
"25582","Panzer Clash",2011,30,2
"25583","The Ares Project",2011,60,4
"25584","League of Nations",2011,90,6
"25585","New York",2011,60,6
"25586","Dungeons & Dragons: Wrath of Ashardalon Board Game",2011,60,5
"25587","Dungeon Run",2011,60,6
"25588","Souvlaki Wars",2011,30,4
"25589","The Red Dragon Inn 3",2011,60,4
"25590","Space Infantry",2011,60,2
"25591","The Orchard",2011,45,6
"25592","At the Cinema",2011,30,6
"25593","Zag<U+0142>ada Atlantydy",2011,90,5
"25594","Wu Xing",2011,30,6
"25595","Rusalka's Sorrow",2011,90,4
"25596","Rails of New England",2011,180,5
"25597","Babylon: Gateway of the Gods",2011,90,4
"25598","Pilus",2011,45,4
"25599","Hungarian Nightmare",2011,300,2
"25600","Gettysburg: The Wheatfield",2011,150,2
"25601","FAB: Sicily",2011,240,2
"25602","No Retreat! The Russian Front",2011,360,2
"25603","Lucha",2011,30,4
"25604","Eminent Domain",2011,45,4
"25605","Plan West",2011,480,4
"25606","El Condor Pasa",2011,30,5
"25607","Mecca",2011,30,6
"25608","Panic Station",2011,40,6
"25609","Get Nuts",2011,45,6
"25610","Ticked Off",2011,45,10
"25611","Ora et Labora",2011,180,4
"25612","King of Tokyo",2011,30,6
"25613","Conan: el juego de cartas",2011,30,4
"25614","Takenoko",2011,45,4
"25615","Kleurenkapers!",2011,45,4
"25616","Yggdrasil",2011,90,6
"25617","Space Colonies",2011,60,4
"25618","Eclipse",2011,200,6
"25619","Top Speed",2011,45,9
"25620","Railways Through Time",2011,120,6
"25621","Into the Bastards!: First tank battle",2011,0,2
"25622","Trollhalla",2011,60,4
"25623","Go With The Flow",2011,30,4
"25624","Partizan",2011,240,2
"25625","Leningrad '41: What If Manstein had Attacked?",2011,240,2
"25626","When Lions Sailed",2011,240,4
"25627","Pirate Fluxx",2011,40,6
"25628","Casa da Fama",2011,70,10
"25629","Fallen Shadow",2011,60,2
"25630","The South Seas Campaign",2011,240,2
"25631","Falklands Showdown: The 1982 Anglo-Argentine War",2011,240,2
"25632","The Hardest Days",2011,240,1
"25633","The Rhineland War, 1936-37",2011,240,2
"25634","Shogun: Tenno's Court",2011,90,5
"25635","Generals of the Revolution",2011,240,4
"25636","1858: The Railways of Iberia",2011,240,6
"25637","Spartacus Imperator",2011,90,2
"25638","Revolver",2011,45,2
"25639","Eaten by Zombies!",2011,30,4
"25640","Five Fingered Severance",2011,60,6
"25641","The Lord of the Rings: The Card Game",2011,60,2
"25642","Star Trek: Fleet Captains",2011,75,4
"25643","Star Trek: Expeditions",2011,60,4
"25644","World at War: Paris is Burning",2011,90,2
"25645","A Few Acres of Snow",2011,120,2
"25646","Dungeon Raiders",2011,60,5
"25647","Cafe Pronto",2011,75,4
"25648","Fortuna",2011,60,4
"25649","Regents",2011,90,5
"25650","Jet Set: Distant Lands – Expansion Set 1",2011,90,6
"25651","Combat Commander: Battle Pack #4 – New Guinea",2011,180,2
"25652","Leader 1: Hell of the North",2011,45,10
"25653","1955: The War of Espionage",2011,45,2
"25654","Future Battlefield",2011,45,2
"25655","Lost Battles",2011,140,4
"25656","Mansions of Madness",2011,120,5
"25657","Global Warming",2011,30,4
"25658","Signum Mortis",2011,240,6
"25659","Strike of the Eagle",2011,150,4
"25660","Assist",2011,15,7
"25661","Space Empires: 4X",2011,180,4
"25662","Afluentes",2011,20,4
"25663","Coerceo",2011,45,2
"25664","The Castles of Burgundy",2011,90,4
"25665","Cave Evil",2011,180,4
"25666","21 Motines",2011,45,5
"25667","Micronomic",2011,60,5
"25668","Gosu: Kamakor",2011,20,4
"25669","U-Boat Leader",2011,90,1
"25670","The Dwarf King",2011,40,5
"25671","Kolejka",2011,60,5
"25672","Vampire Werewolf Fairies",2011,20,6
"25673","Terrarium",2011,20,4
"25674","Catacombs: Cavern of Soloth",2011,90,5
"25675","La Bataille de la Moscowa (third edition)",2011,1000,8
"25676","The Last Success: Napoleon's March to Vienna, 1809",2011,0,2
"25677","Warhammer: Invasion – Omens of Ruin",2011,60,2
"25678","BattleLore: Code of Chivalry",2011,60,2
"25679","Commands & Colors: Napoleonics Expansion #1 – The Spanish Army",2011,90,2
"25680","Octopus' Garden",2011,45,4
"25681","Guns of August",2011,180,2
"25682","Thunderstone: Dragonspire",2011,45,5
"25683","Fresco: Expansion Modules 4, 5 and 6",2011,60,4
"25684","The Phantom League: Mostly Harmless",2011,120,6
"25685","Barons",2011,60,6
"25686","Drum Roll",2011,90,4
"25687","Tannenberg 1914",2011,210,2
"25688","2012: The Day of Fallout – Commander",2011,45,2
"25689","Galactic Frontier",2011,90,4
"25690","Eminent Domain: Bonus Planets",2011,45,4
"25691","Konigsberg '45",2011,480,3
"25692","Medieval Mastery",2011,45,6
"25693","Tic Tic Boom",2011,20,6
"25694","Birth of a Legend",2011,180,2
"25695","Munchkin Zombies",2011,90,6
"25696","Combat Commander: Resistance!",2011,120,2
"25697","Vintage",2011,120,4
"25698","ScrumBrawl",2011,50,4
"25699","Age of Steam Expansion: Time Traveler",2011,120,6
"25700","Cosmic Encounter: Cosmic Conflict",2011,60,7
"25701","Tannhauser: Oksana",2011,60,2
"25702","Munchkinomicon",2011,90,6
"25703","Call of Cthulhu: The Card Game – The Twilight Beckons Asylum Pack",2011,20,2
"25704","Call of Cthulhu: The Card Game – Perilous Trials Asylum Pack",2011,30,2
"25705","Manufacture",2011,0,4
"25706","1865: Sardinia",2011,240,4
"25707","NinjaGO",2011,15,2
"25708","Isaac",2011,15,2
"25709","Contact!",2011,120,1
"25710","Campaign Commander Volume III: Punic Island",2011,3,2
"25711","Alien Frontiers: The Mind Control Helmet",2011,60,4
"25712","BOLSA: the board game",2011,75,6
"25713","Dinner Party",2011,30,9
"25714","Crappy Birthday",2011,20,8
"25715","Nightfall",2011,45,5
"25716","Power Grid: BGG Promo Card Set",2011,120,6
"25717","Fancy Nancy's Fabulous Fashionista Game",2011,0,4
"25718","Buck Buck Moose",2011,0,4
"25719","Bullfrog Goldfield",2011,240,5
"25720","Eruption",2011,45,6
"25721","Home Sweet Home",2011,75,4
"25722","Commands & Colors: Ancients Expansion Pack #6 – The Spartan Army",2011,60,2
"25723","Taiwan Strait Crisis 1950",2011,90,2
"25724","Zoo Yatzy",2011,10,99
"25725","Records of Three Kingdoms 190-280",2011,120,3
"25726","Battles of Westeros: Lords of the River",2011,60,2
"25727","Palenque",2011,60,6
"25728","Godzilla: Stomp!",2011,30,5
"25729","Enlightened Warlords: A Player's Guide to Soldier Kings",2011,240,8
"25730","Battle of Cannae",2011,15,2
"25731","Moody",2011,15,4
"25732","Warhammer: Invasion – The Chaos Moon",2011,60,2
"25733","Call of Cthulhu: The Card Game – Initiations of the Favored Asylum Pack",2011,30,2
"25734","Bloodsuckers",2011,120,4
"25735","Gardens of Mars",2011,30,5
"25736","Priory",2011,45,2
"25737","HouseBoy the Board Game",2011,30,6
"25738","Drag Show: The Contentious Drinking Game",2011,2,4
"25739","Touhou Shisouroku: Touhou Koumakyou-hen",2011,30,4
"25740","CEO",2011,0,4
"25741","Dennewitz 20",2011,45,2
"25742","BITS",2011,45,4
"25743","ASL Journal #9",2011,180,4
"25744","ASL Action Pack #7",2011,180,4
"25745","RoboDerby: Express",2011,45,2
"25746","Animal Shuffle",2011,10,4
"25747","Off the Dead: Chapitre 1 – Morts a Venice Beach",2011,45,4
"25748","Outpost Gemini",2011,30,2
"25749","A Game of Thrones: The Card Game – Dreadfort Betrayal",2011,60,4
"25750","A Game of Thrones: The Card Game – Gates of the Citadel",2011,60,4
"25751","Bradley's D-Day",2011,240,2
"25752","APBA Soccer",2011,60,2
"25753","Ticket to Ride: Alvin & Dexter",2011,30,5
"25754","Faux‧Cabulary",2011,0,7
"25755","Jasper and Zot",2011,30,1
"25756","Top & Down",2011,30,4
"25757","Mount Drago",2011,30,5
"25758","Sunblock",2011,5,4
"25759","Ramses Return",2011,10,4
"25760","Banana Balance",2011,5,4
"25761","Frog Rush",2011,10,4
"25762","From Mud to Glory: American Football",2011,10,2
"25763","Offboard",2011,20,2
"25764","Carcassonne: 10 Year Special Edition",2011,45,5
"25765","Carcassonne: The Dice Game",2011,10,5
"25766","Ninjago: The Board Game",2011,15,4
"25767","Angry Birds: Knock on Wood",2011,25,4
"25768","Feed the Beast",2011,10,6
"25769","15",2011,20,6
"25770","Agoraphobia",2011,15,2
"25771","Bugs & Co",2011,5,8
"25772","Tiger Stripes",2011,10,4
"25773","Endicott Epidemic: Infectious Contagion Expansion #1 – Black Ops",2011,40,8
"25774","Meatgrinder",2011,280,2
"25775","Kniffel Extreme",2011,20,4
"25776","Eselsbrucke",2011,45,12
"25777","Das magische Labyrinth: Erweiterung",2011,20,4
"25778","Tricky",2011,20,5
"25779","Tannhauser: Hoss",2011,60,10
"25780","Pergamon",2011,45,4
"25781","Principato",2011,90,4
"25782","Battletech: Era Report – 3052",2011,0,0
"25783","Ludus Magnus",2011,30,2
"25784","Farming with Friends",2011,45,4
"25785","Air Combat: Card Game",2011,45,2
"25786","L Mental",2011,15,8
"25787","Mammut Mambo",2011,30,6
"25788","Business Card Fighters",2011,15,0
"25789","Kriegspiel, the card game",2011,5,2
"25790","Blood Bowl: Team Manager – The Card Game",2011,90,4
"25791","Tricky Bid",2011,30,4
"25792","Zombie War",2011,60,4
"25793","Nobody Is Perfect: Kompakt",2011,45,6
"25794","Tohuwabohu: Beruhmt beruchtigt",2011,45,6
"25795","Tohuwabohu: Einfach tierisch",2011,45,6
"25796","Photo Safari",2011,15,4
"25797","The Secret of Monte Cristo",2011,60,4
"25798","Farmish",2011,20,6
"25799","12 Moons",2011,20,2
"25800","Synonyms: The Word Game That Gets Your Mind Racing!",2011,60,8
"25801","TGV: Card Game",2011,45,2
"25802","Euronimoes",2011,40,4
"25803","Cargo Noir",2011,90,5
"25804","Summoner Wars: Cloaks Faction Deck",2011,30,4
"25805","Summoner Wars: Jungle Elves Faction Deck",2011,30,4
"25806","Call of Cthulhu: The Card Game – Aspirations of Ascension Asylum Pack",2011,30,2
"25807","Mieses Karma",2011,30,5
"25808","Airlines Europe",2011,75,5
"25809","OlymPeak",2011,30,6
"25810","Bad Beer Baron, Bachelor Edition",2011,0,0
"25811","Monsta",2011,30,5
"25812","Uuups",2011,20,5
"25813","Hippo Hopp",2011,30,4
"25814","Gold!",2011,20,3
"25815","Come-Bye",2011,20,4
"25816","Warhammer: Invasion – The Twin Tailed Comet",2011,60,2
"25817","Closure",2011,10,2
"25818","Munchkin Monster Enhancers",2011,90,6
"25819","Munchkin 7: Cheat With Both Hands",2011,90,6
"25820","Democracy under Siege",2011,180,3
"25821","Grand Admiral: Castles of Steel",2011,0,0
"25822","Touchstone",2011,15,2
"25823","Das grose Tier-Ratsel",2011,30,4
"25824","Dungeon in a Tin",2011,20,4
"25825","Sanzaru",2011,40,5
"25826","Tournament Express",2011,15,1
"25827","Of Sky & Sea",2011,30,6
"25828","Leprechaun's Castle",2011,30,6
"25829","Take Your Pick II",2011,20,8
"25830","Sushi High Battle",2011,15,5
"25831","Open Rails Express: Cleveland Interurban",2011,45,2
"25832","Duderama",2011,30,8
"25833","Dominion: Cornucopia",2011,30,4
"25834","Scavengers",2011,30,4
"25835","Pelican Cove",2011,30,5
"25836","PRRRT...",2011,15,7
"25837","Telematons",2011,0,2
"25838","Witty Pong",2011,10,8
"25839","Mixtour",2011,45,2
"25840","Knock Your Blocks Off",2011,15,4
"25841","Mermaid Beach",2011,15,5
"25842","Splish Splash!",2011,15,4
"25843","Gladiators in Rome",2011,10,7
"25844","Coco Schnipp",2011,20,4
"25845","Die Civilization",2011,30,6
"25846","BrawlBall",2011,30,2
"25847","Phantom Fury",2011,240,1
"25848","Heroes de Armarath",2011,180,12
"25849","Khet 2.0",2011,30,2
"25850","Aether Captains: Dread Supremacy",2011,20,4
"25851","Nebula's War",2011,30,2
"25852","Saboteur 2 (expansion-only editions)",2011,45,12
"25853","ScatterLand",2011,30,4
"25854","Pilus Rainbows",2011,45,4
"25855","Paris: Crime Investigation – Card Game",2011,60,2
"25856","KaBam!",2011,15,0
"25857","Ristorante Italia",2011,90,5
"25858","Firmenspiele",2011,0,4
"25859","Zodiakos",2011,20,2
"25860","Hurry Up!",2011,0,6
"25861","Discworld: Ankh-Morpork",2011,60,4
"25862","Rogue's Quest",2011,0,1
"25863","MUNERA: Ars Dimicandi",2011,0,0
"25864","TC Tennis",2011,45,2
"25865","RinglDing",2011,10,6
"25866","Dam Breakers",2011,10,7
"25867","Map It! World Edition",2011,20,6
"25868","Schwarz Rot Gelb",2011,20,6
"25869","Right Fierce & Terrible: Sluys 1340",2011,180,2
"25870","Expedition Dino",2011,15,5
"25871","Zwerg Riese",2011,20,4
"25872","Schuhbidu",2011,10,4
"25873","WO Bonus Pack #2: ASL Scenario Pack for Winter Offensive 2011",2011,120,2
"25874","Molly Mief",2011,10,6
"25875","Bella Blumchen",2011,10,4
"25876","Princess Magic Fairy",2011,10,4
"25877","Rhino Hero",2011,15,5
"25878","Lausch Genau!",2011,20,4
"25879","Brotherhood of Nine: The Hex Strategy Game",2011,30,4
"25880","Mondo",2011,30,4
"25881","Bluffing Battles",2011,15,2
"25882","Rolling Courts",2011,45,5
"25883","Struggle for Catan",2011,45,4
"25884","Quarriors!",2011,30,4
"25885","Hot Wheels Speed Rallye",2011,15,4
"25886","RoboDerby: Express – 3rd Wheel",2011,45,3
"25887","Pastiche",2011,60,4
"25888","Olympic Tennis",2011,30,2
"25889","Minions of Cthulhu",2011,60,4
"25890","Zicke Zacke",2011,15,5
"25891","Arschbombe",2011,20,4
"25892","Auf die Birne",2011,15,5
"25893","Avanti",2011,60,5
"25894","Da ist der Wurm drin",2011,20,4
"25895","Pricey Dice",2011,30,4
"25896","The Picrocholine Wars",2011,90,2
"25897","Pamplona: Viva San Fermin!",2011,45,4
"25898","Resident Evil Deck Building Game: Alliance",2011,45,4
"25899","Beach Breach",2011,15,2
"25900","City Square Off",2011,15,2
"25901","Dungeons & Dragons: The Legend of Drizzt Board Game",2011,60,5
"25902","Strasbourg",2011,60,5
"25903","Quebec",2011,75,5
"25904","Neteru",2011,20,2
"25905","Befuzzled",2011,30,8
"25906","Non-Stop Safari",2011,45,4
"25907","Sovereign: An open source board game project",2011,120,6
"25908","Milky Way Express",2011,30,2
"25909","11",2011,40,2
"25910","Killzone 2",2011,20,2
"25911","Dungeons & Dragons: Conquest of Nerath Board Game",2011,240,4
"25912","Bombers at War: The Battle of the Bismarck Sea",2011,60,1
"25913","Dice BattleShips with Land n Air 07",2011,20,7
"25914","Thunderstone: Promo Pack",2011,45,5
"25915","Battle for Moscow Expansion Kit",2011,50,2
"25916","Four Roads to Moscow",2011,180,2
"25917","Wargame",2011,20,2
"25918","Chariot Dice",2011,20,3
"25919","GalaXism",2011,60,6
"25920","Aether Captains: Pirates and Traders",2011,30,1
"25921","Dragon Face",2011,20,2
"25922","Super Dungeon Explore",2011,120,6
"25923","Fluxx: BoardGameGeek Expansion",2011,15,6
"25924","Raptorz the Game",2011,45,0
"25925","Ferris Bueller's Day Off Board Game",2011,15,3
"25926","Tailath",2011,15,2
"25927","Transport Manager 2100",2011,45,4
"25928","Analyze Me",2011,45,8
"25929","Sketch It",2011,20,6
"25930","Pixy Cubes",2011,20,4
"25931","Spell it!",2011,20,6
"25932","Olympos",2011,75,5
"25933","Eternal Legend",2011,5,4
"25934","Carcassonne: The Phantom",2011,45,6
"25935","Skull",2011,45,6
"25936","WordPress Board Game",2011,90,4
"25937","Sporz Original Outbreak",2011,75,20
"25938","Modern Naval Battles:  Global Warfare Ship Expansion #1",2011,90,6
"25939","Anzio The Bloodiest Beachhead",2011,120,2
"25940","Flip For It",2011,5,5
"25941","Pass the Pigs: Pig Party Edition",2011,20,4
"25942","Djam",2011,15,6
"25943","Runebound Essential Collection",2011,240,6
"25944","7 Wonders: Leaders",2011,40,7
"25945","Exquisite Rivalry",2011,20,4
"25946","Unforced Error Tennis",2011,20,2
"25947","Das grose Kullern",2011,20,4
"25948","Abducted by Aliens",2011,60,4
"25949","Homage & Fealty",2011,60,6
"25950","Duelers",2011,45,4
"25951","Artus",2011,60,4
"25952","Schnappt Hubi!",2011,20,4
"25953","Speed Dating",2011,30,6
"25954","Mi Gato se Incendia!",2011,30,6
"25955","Alpha Word Game System",2011,5,8
"25956","HITOYA",2011,15,2
"25957","Space Ork Maintenance Crews!",2011,20,2
"25958","Strike Dice",2011,20,4
"25959","Russian Civil War 1918-1922 (second edition)",2011,240,6
"25960","Guards! Guards! A Discworld Boardgame",2011,120,6
"25961","Ragnarok: Aesir and Jotunn",2011,20,2
"25962","We Must Tell the Emperor Expansion Kit",2011,60,1
"25963","Dixit Odyssey",2011,30,12
"25964","Pitch'n Dunk",2011,20,2
"25965","Plantation",2011,45,4
"25966","Say Anything Family Edition",2011,30,6
"25967","Racers Ready",2011,0,0
"25968","Summoner Wars: Goodwin's Blade Reinforcement Pack",2011,30,4
"25969","Summoner Wars: Hawk's Strike Reinforcement Pack",2011,30,4
"25970","Jurassik",2011,15,4
"25971","Schusselhexe",2011,15,4
"25972","Cadwallon: City of Thieves – Cry Havoc!",2011,0,4
"25973","Innovation: Echoes of the Past",2011,60,5
"25974","Bhazum: Ksari",2011,30,4
"25975","Fornaldar: Nordic Saga",2011,300,2
"25976","War Game: A Prototype for Peace",2011,20,2
"25977","Alamo 1836",2011,0,2
"25978","Summoner Wars: Khexhu",2011,30,4
"25979","Merchants of the Federation",2011,180,5
"25980","Schafchen Karussell",2011,20,4
"25981","Welches Tier passt hier?",2011,10,6
"25982","Fighters of D",2011,10,2
"25983","NUTS! Stalingrad: Heroes All",2011,120,0
"25984","IceDice",2011,5,4
"25985","Dual Value Playing Cards",2011,10,8
"25986","Battles of Westeros: Tribes of the Vale",2011,60,2
"25987","Guilty Gods",2011,20,2
"25988","Happy Aua",2011,20,6
"25989","Tohuwabohu",2011,20,4
"25990","Fyrdwisa",2011,30,3
"25991","Gotcha!",2011,30,8
"25992","ATS: White Beach One – The Marine Landing on Peleliu 1944",2011,180,2
"25993","Einfach tierisch",2011,20,5
"25994","Schlacht am Buffet",2011,30,6
"25995","Burning Passion",2011,2,2
"25996","Panzer Saint-Lo 1944",2011,120,4
"25997","Spline",2011,10,2
"25998","Tetris Link",2011,15,4
"25999","Dino-Deal",2011,15,4
"26000","Flinke Fliegen",2011,20,5
"26001","011",2011,90,6
"26002","Der Kletter-Retter",2011,15,4
"26003","Call of Cthulhu: The Card Game – The Gleaming Spiral Asylum Pack",2011,30,2
"26004","Summoner Wars: Master Set",2011,30,4
"26005","Convocados",2011,25,2
"26006","Party Gras",2011,0,12
"26007","Final Fantasy Trading Card Game",2011,30,2
"26008","Warhammer: Invasion – Signs in the Stars",2011,60,0
"26009","The Beautiful Game",2011,90,0
"26010","Madeline at the White House",2011,0,4
"26011","Madeline in Paris Game",2011,0,4
"26012","Madeline Matching Game",2011,0,4
"26013","I SPY Ready to Read Game",2011,0,6
"26014","I SPY Spectacular",2011,0,0
"26015","Paperclip Railways",2011,45,5
"26016","The Rivals for Catan: Age of Darkness",2011,75,2
"26017","Kart sur Glace",2011,30,5
"26018","Castaways of Deadmans Bay",2011,20,2
"26019","Zirkus Stapelix",2011,20,4
"26020","Age of Steam Expansion: Mexico & China",2011,120,6
"26021","Arkham Horror: Miskatonic Horror Expansion",2011,240,8
"26022","EndBreaker! SCG: Build & Break",2011,50,4
"26023","Ubongo: Das Kartenspiel",2011,20,4
"26024","Konnen Schweine fliegen? Das Kartenspiel",2011,15,4
"26025","Perigon",2011,40,2
"26026","Diese Garten, diese Alleen",2011,20,2
"26027","Colour Bazaar",2011,30,3
"26028","Tetris: The Card Game",2011,0,4
"26029","Jarjais",2011,40,4
